line,text
2369,"White House counsel on November 14, 1973. "
2370,"In a further effort to ascertain the cause of the 18% minute gap, "
2371,the court appointed a panel of six experts in acoustics and sound 
2372,engineering approved by the White House and WSPF. The panel 
2373,"was asked to determine the method by which the gap had been created, "
2374,"the kind of machine that had been used to create it, and the existence "
2375,of any possibility of recovering the conversation. The experts began 
2376,various tests on the tape early in December in the presence of repre- 
2377,"sentatives of the White House and WSPF. Their report, delivered to "
2378,"the court January 15, 1974, concluded that the gap had been produced "
2379,by at least five separate hand operations of the stop and record buttons 
2380,"of a Uher 5000 machine, the same model used by Woods in transcribing "
2381,the tape. The panel also concluded that recovery of the obliterated 
2382,conversation would be impossible. 
2383,Since the experts' report made it clear that the gap had been 
2384,"caused by intentional erasures, and evidence produced at the hearings "
2385,showed that the erasures had occurred after the tape had been sub- 
2386,"poenaed, Judge Sirica referred the matter to the grand jury for "
2387,further investigation of the possibility of obstruction of justice. 
2388,"A grand jury, assisted by WSPF and the FBI, began hearing witnesses "
2389,"January 28, 1974. It concluded from the testimony of over 50 people "
2390,that a very small number of persons could have been responsible for 
2391,"the erasures, but it was unable to obtain evidence sufficient to pros- "
2392,ecute any individual. 
2393,53
2394,Investigation of Submission of Presidential Transcripts 
2395,to House Judiciary Committee 1 
2396,"On April 30, 1974, President Nixon authorized the submission to "
2397,"the House Judiciary Committee, and the release to the public, of a "
2398,number of transcripts of recorded conversations. The Committee had 
2399,subpoenaed the original tapes of these conversations in connection 
2400,"with its impeachment inquiry. At the same time, the President offered "
2401,to allow the Committee's chairman and ranking minority member 
2402,to listen to the original tapes and verify the accuracy and complete- 
2403,ness of the transcripts. The Committee declined this offer. 
2404,The Committee and WSPF had already obtained some of the tapes 
2405,"of conversations included in the transcripts, and comparision of the "
2406,WSPF transcripts with the White House transcripts showed that the 
2407,latter contained several omissions of portions of conversations. The 
2408,prosecutors made some inquiries in the months following the tran- 
2409,"scripts' release, but investigation had to await WSPF's receipt of "
2410,"additional tapes in August 1974, pursuant to the trial subpoena in the "
2411,Watergate cover-up case. A full-scale investigation began early in 1975 
2412,to determine whether various materials were deleted from the tran- 
2413,scripts for the purpose of obstructing the Judiciary Committee's 
2414,"inquiry in violation of Title 18, United States Code, Section 1505. To "
2415,establish a violation of this section it would be necessary to prove that 
2416,portions of the conversations damaging to the President were willfully 
2417,deleted with the corrupt intent to mislead the Committee. 
2418,Certain problems made the necessary elements difficult to prove. 
2419,The Committee already possessed the tapes of several of these con- 
2420,"versations, and as to these, White House deletions in transcripts "
2421,could not mislead or obstruct the Committee. The WSPF investiga- 
2422,"tion thus excluded those transcripts from consideration. Further, "
2423,President Nixon submitted his transcripts with the express statement 
2424,that he was providing only the information that he felt was necessary 
2425,"to Committee business. More significantly, however, in view of the "
2426,White House offer to allow Committee representatives to listen to the 
2427,"tapes for their own verification, corrupt intent was difficult, if not "
2428,"impossible, to establish unless direct proof existed either to negate "
2429,"the bona fides of this Presidential offer to the Committee, or to show "
2430,"an explicitly stated intention to deceive. Finally, the White House "
2431,transcripts carefully noted that deleted material was “not related to 
2432,"Presidential action "" (emphasis supplied). The choice of this language "
2433,to characterize the deletions introduced great ambiguity in the intent 
2434,factor; an advocate could state with literal truth that the Committee 
2435,was put on notice by this language that Watergate-related conversa- 
2436,"1 Although this matter arose as part of the Watergate cover-up investigation, "
2437,the inquiry detailed in this section was conducted by attorneys not assigned to 
2438,the Watergate Task Force. 
2439,54
2440,tions may have been omitted from the transcripts when the conversa- 
2441,tion had not been followed by specific actions. 
2442,This investigation was conducted in large part through the in- 
2443,"terviewing of various witnesses by WSPF and the FBI, outside of the "
2444,grand jury. The investigation began with a comparison of WSPF 
2445,transcripts with those prepared by the White House. Seven or eight 
2446,"deletions were selected which, because of their length and nature, "
2447,could not realistically have been omitted because of a problem in 
2448,audibly determining what was on the tape. WSPF focused the in- 
2449,vestigation on these deletions and attempted to determine why they 
2450,took place. Almost all persons involved in the preparation of the 
2451,transcripts in the White House were interviewed to track the transcrip- 
2452,tion process and the course of decision-making as to the deletions. 
2453,These and other persons were also interviewed in order to check the 
2454,bona fides of the Presidential offer to have Committee representatives 
2455,listen to the entire tape for omissions they thought might be relevant 
2456,to the Committee impeachment inquiry. 
2457,WSPF concluded that there is strong circumstantial evidence 
2458,"that at least some of the lengthy deletions were deliberate, but no "
2459,prosecution was possible. No direct evidence existed to overcome the 
2460,above problems of establishing the necessary criminal intent. In 
2461,"addition, all the available evidence indicated that the verification "
2462,offer by the White House to the Committee was made with full 
2463,expectation that the offer might indeed be accepted. 
2464,"""DIRTY TRICKS"" INVESTIGATION "
2465,In October 1973 several newspapers reported that President 
2466,Nixon’s re-election campaign included an undercover network of 
2467,agents who had engaged in various kinds of political espionage and 
2468,sabotage against candidates for the Democratic Presidential nomina- 
2469,tion. The reported activities came to be known collectively as “dirty 
2470,"tricks,” and included forging letters and other literature which un- "
2471,"fairly attacked some candidates, planting manufactured stories in "
2472,"the press, copying documents from campaign files, and recruiting "
2473,people to ask embarrassing questions at candidates’ rallies or to picket 
2474,such rallies on behalf of opposing candidates. The Washington Post 
2475,identified California lawyer Donald Segretti as the director of these 
2476,operations and reported that he had been recruited and paid by 
2477,White House staff members and re-election campaign aides. 
2478,"The press disclosures, along with complaints by one of the Demo- "
2479,cratic candidates whose Florida primary campaign had been a target 
2480,"of such activities, led the U.S. Attorney’s office for the Middle Dis- "
2481,trict of Florida to conduct an investigation with the help of the FBI. 
2482,"Segretti and George A. Hearing, one of Segretti’s associates, were "
2483,"indicted on May 4, 1973, in Florida on charges of conspiracy and "
2484,distributing campaign literature without properly identifying its 
2485,"source. A week later, Hearing pleaded guilty and was sentenced to a "
2486,year’s imprisonment. 
2487,"Even before Segretti’s indictment in Florida, the Assistant U.S. "
2488,Attorneys conducting the Watergate investigation in Washington 
2489,had interviewed and questioned before the grand jury several former 
2490,White House and re-election campaign officials about his sponsorship. 
2491,"After the appointment of Special Prosecutor Cox, the “dirty tricks” "
2492,investigation was taken over by WSPF. Facing the Florida charges 
2493,"and possible charges in other states, Segretti offered in July to cooper- "
2494,"ate with WSPF, and met with the prosecutors twice that summer, "
2495,giving information that indicated that former White House aide 
2496,Dwight Chapin had lied to the grand jury about his involvement in 
2497,Segretti’s activities. Segretti later pleaded guilty to three misdemeanor 
2498,"charges in Washington, D.C., and was sentenced to serve 6 months "
2499,in prison. 
2500,"The day after his guilty plea, Segretti testified before the grand "
2501,jury under a grant of immunity. His testimony and other evidence 
2502,resulted in Chapin’s indictment on four perjury charges on November 
2503,"29. On April 5, 1974, after trial, Chapin was convicted on two of "
2504,those charges; one of the remaining charges was dismissed during the 
2505,"trial, and the jury acquitted him of the other. Sentenced to serve "
2506,"10 to 30 months in prison, Chapin filed an appeal. On July 14, 1975, "
2507,the Court of Appeals affirmed his conviction. 
2508,The Florida investigation had identified several people who had 
2509,engaged in “dirty tricks” as agents of Segretti. Some had been im- 
2510,munized in order to provide the Florida prosecutors with information 
2511,"about Segretti’s own conduct. WSPF’s subsequent investigation, "
2512,"which involved his operations in several states besides Florida, iden- "
2513,tified about 25 people who had engaged in various activities on his 
2514,instructions. Most of them had engaged in conduct that was not 
2515,"criminal — for example, supplying Segretti with local news clippings, "
2516,"asking embarrassing questions at candidates’ public appearances, "
2517,"peacefully picketing events at which candidates were to appear, "
2518,putting Segretti in touch with other possible agents. Those who 
2519,had engaged in more serious conduct such as distributing misattributed 
2520,"literature, were generally young people who had done so without "
2521,"knowing it was illegal. Because of their youth, the marginal and "
2522,"isolated nature of their criminality, if any, and their low level of "
2523,"influence in Segretti’s operation, WSPF did not seek to prosecute "
2524,these persons. 
2525,"Other allegations, including those made in the press and in testi- "
2526,"mony before the Senate Select Committee, indicated that various "
2527,other “dirty tricks” had been perpetrated against Democratic cam- 
2528,paigns by people working on behalf of the President’s re-election. 
2529,56
2530,WSPF investigated these allegations and found either that they did 
2531,not involve criminal conduct or that the filing of criminal charges 
2532,was not warranted by the facts uncovered. 
2533,The prosecutors also received allegations about possible “dirty 
2534,tricks” by agents of Democratic candidates directed against President 
2535,Nixon’s campaign. Most of these involved the possible use of Demo- 
2536,cratic candidates’ headquarters and facilities in organizing demon- 
2537,strations that disrupted public appearances of the President or of 
2538,persons campaigning on his behalf. The most substantial of these 
2539,charges was that Senator George McGovern’s Los Angeles campaign 
2540,headquarters and telephone bank had been used in organizing a large 
2541,demonstration at the Century Plaza Hotel when the President ap- 
2542,peared there in September 1972. As to this and the other matters 
2543,"they investigated, the prosecutors did not obtain sufficient evidence "
2544,to bring criminal charges. 
2545,INVESTIGATIONS RELATING TO 
2546,INTERNATIONAL TELEPHONE AND TELEGRAPH CORPORATION 
2547,"During the spring of 1972, while the Senate Judiciary Committee "
2548,was considering the nomination of Richard Kleindienst to be Attorney 
2549,"General, press accounts suggested that the Department of Justice "
2550,had settled three antitrust suits in 1971 against International Tele- 
2551,"phone and Telegraph Corporation (ITT), one of the Nation’s largest "
2552,"conglomerates, in return for ITT’s alleged offer to help finance the "
2553,1972 Republican National Convention. The Committee questioned 
2554,"Kleindienst, other Government officials, officers of ITT, and others "
2555,"with relevant knowledge about the matter, and then requested the "
2556,Justice Department to investigate the possibility that perjury had been 
2557,committed in its hearings. 
2558,"After WSPF was established, Attorney General Richardson, who "
2559,"had succeeded Kleindienst, asked Special Prosecutor Cox to look into "
2560,the possibility that perjury had been committed in the 1972 hearings 
2561,(the Justice Department’s investigation had made little progress in 
2562,"the preceding year), as well as the possible relationship between the "
2563,antitrust settlements and ITT’s pledges of support for the Republican 
2564,"convention. He also asked Cox to investigate an allegation, referred "
2565,to the Justice Department by the Securities and Exchange Com- 
2566,"mission (SEC), that a Commission inquiry had been obstructed by "
2567,ITT’s failure to produce certain documents. An ITT task force was 
2568,organized within WSPF to conduct these inquiries. 
2569,"Later, in response to additional referrals from the Justice Depart- "
2570,"ment and information received from other sources, the ITT task force "
2571,also investigated charges that: 
2572,— The Kleindienst confirmation hearings had been illegally 
2573,obstructed; 
2574,57
2575,— Crimes had been committed in connection with the transfer of 
2576,documents relating to ITT from the SEC to the Justice Department 
2577,at a time when a House Commerce Subcommittee was seeking such 
2578,documents and in connection with subsequent Subcommittee hear- 
2579,ings inquiring into the circumstances of the transfer; 
2580,— ITT had been granted a favorable tax ruling by the Internal 
2581,Revenue Service as a result of improper influence or fraud; 
2582,— Improper influence had been applied to the Justice Depar tment’s 
2583,"handling of the antitrust suits against ITT, apart from the 1971 "
2584,settlement ; 
2585,— Improper influence had been used in securing the agreement of 
2586,another corporation to merge with ITT and in obtaining necessary 
2587,approvals of that merger; 
2588,— Perjury had been committed by various people before Congres- 
2589,"sional committees, the SEC, and the grand jury. "
2590,The investigation into the ITT-related matters occupied several 
2591,attorneys for approximately 18 months. Investigation of the antitrust 
2592,cases involved an examination of the July 1971 settlements and 
2593,improper attempts to influence these settlements. The cases involved 
2594,Government challenges to ITT’s proposed mergers with the Canteen 
2595,"Corporation (filed in April 1969), the Hartford Fire Insurance Com- "
2596,"pany (filed on August 1, 1969), and the Grinnell Corporation (filed "
2597,"on August 1, 1969). While other events were also examined, the "
2598,principal focus was on determining whether illegal influence was exer- 
2599,cised (1) to prevent the filing of the Canteen case or cause the Govern- 
2600,ment not to seek preliminary relief enjoining that merger; (2) to con- 
2601,vince the Government in the summer and fall of 1970 either to drop 
2602,the cases entirely or accept a settlement involving no meaningful 
2603,divestiture; (3) to prevent or delay the filing of an appeal in the 
2604,Grinnell case to the Supreme Court; and (4) to cause the settlement 
2605,of all three cases in July 1971. 
2606,In each of these instances the evidence accumulated by WSPF 
2607,"showed that ITT had gained access, directly or indirectly, to important "
2608,Administration officials who in some instances took some action 
2609,relating to these cases. In only one instance did the effort to secure 
2610,high-level influence produce a provable impact on the handling of the 
2611,"cases. The further task, however, was to discover whether these "
2612,"attempts to influence the case were corrupt, such as the result of a "
2613,"bribe, or whether they were the product of an intensive though legal "
2614,lobbying effort. Those whose conduct was examined in this connection 
2615,"included persons who sought the assistance of Administration officials, "
2616,the officials who discussed these cases with people outside the Govern- 
2617,"ment, and those with high-level responsibility for the cases who dealt "
2618,with Administration officials. 
2619,The investigation relating to the Kleindienst confirmation hearings 
2620,focused on two areas : first and more significant was whether any wit- 
2621,58
2622,"ness at the hearings had committed perjun ; second, whether the "
2623,"hearings were obstructed illegally. In the search for possible perjury, "
2624,the investigators examined the testimony of every witness who testi- 
2625,fied about the ITT antitrust cases and the San Diego convention 
2626,pledge. 
2627,The obstruction inquiry is more difficult to define. It was clear 
2628,that the Judiciary Committee did not receive the complete “story” 
2629,during its hearings and did not obtain substantial numbers of per- 
2630,tinent ITT and Government (White House and Justice Department) 
2631,documents. The goal of WSPF was to discover why this took place 
2632,and whether the facts involved illegal defiance of Committee process or 
2633,acts sufficient to constitute a violation of the criminal obstruction laws. 
2634,"In June 1972, the Securities and Exchange Commission filed a "
2635,case against ITT and certain of its officers in which a consent judg- 
2636,"ment was entered. In September and October 1972, the SEC began "
2637,to examine whether ITT had improperly withheld subpoenaed docu- 
2638,"ments. When, in October 1972, a House Commerce Committee sub- "
2639,"committee requested the SEC's ITT files, the SEC suddenly trans- "
2640,"ferred the case to the Justice Department together with the files, "
2641,including documents showing significant contacts between ITT and 
2642,important Administration officials. WSPF investigated the matter to 
2643,determine whether this transfer was an illegal obstruction of the 
2644,"House subcommittee, whether anyone committed perjury at the "
2645,"various hearings held by the subcommittee into the transfer, and "
2646,whether the SEC was improperly influenced to omit a fraud charge 
2647,from its 1972 case. Also examined was ITT's failure to produce docu- 
2648,ments from its Washington office in response to the SEC's subpoena. 
2649,WSPF also investigated the circumstances under which ITT 
2650,received favorable tax treatment for its merger with the Hartford Fire 
2651,Insurance Company. The IRS ruled in October 1969 that ITT had to 
2652,divest its holdings in that company's shares prior to the stockholders' 
2653,"meeting. Later that month, IRS ruled that a contract involving the "
2654,“transfer” of these shares to an Italian bank (Mediobanca) was a 
2655,"sufficient sale of the shares under the earlier ruling. In fact, it was "
2656,"questionable whether this contract involved a true sale, especially "
2657,when the circumstances relating to its negotiation became clear. 
2658,WSPF has focused on whether these tax rulings were the product of 
2659,"improper influence, whether ITT or its representatives were guilty of "
2660,criminally defrauding the Government by misrepresenting the facts 
2661,"relating to the stock transfer, and whether witnesses who testified "
2662,about the transaction before the SEC had committed perjury. Al- 
2663,though the WSPF inquiry in the area of improper influence is com- 
2664,"pleted, the SEC investigation is continuing with a new evidentiary "
2665,focus as to the transfer of shares. 
2666,During its original investigation the Securities and Exchange 
2667,Commission had also looked into certain events related to the eventual 
2668,merger of ITT and Hartford. Although no attempt was made to redo 
2669,"all that the SEC had covered in their investigation, WSPF also "
2670,conducted its own investigations of these matters. 
2671,"Finally, the ITT task force also examined testimony before the "
2672,Senate Foreign Relations Subcommittee on Multinational Corpora- 
2673,tion’s hearings into ITT’s activities in Chile during 1970 and 1971 
2674,"to determine, among other considerations, whether a particular witness "
2675,"had committed perjury. Additionally, the ITT task force spent "
2676,substantial time investigating possible grand jury perjuries committed 
2677,during its inquiries. 
2678,The investigations of the ITT task force resulted in two criminal 
2679,"cases. In the first case, former Attorney General Richard Kleindienst "
2680,"pleaded guilty on May 16, 1974, to a charge of failing to give accurate "
2681,"testimony at his 1972 confirmation hearings, regarding White House "
2682,influence on the antitrust suit. He was fined $100 and given a sus- 
2683,"pended 30-day jail term. In the second case, California Lieutenant "
2684,"Governor Ed Reinecke was convicted after trial on July 27, 1974, "
2685,of one count of perjury in connection with his testimony at the same 
2686,"hearings. He received a suspended 18-month sentence, and the "
2687,conviction is now on appeal. 
2688,"In the remaining areas of the ITT task force, pursuant to the "
2689,"factors discussed in Chapter 2 of this report, no prosecutions were "
2690,"brought. Primarily, this result occurred because there was insufficient "
2691,"evidence to allow the initiation of a criminal case. Also, as noted above, "
2692,the SEC continues to investigate one aspect of the ITT matter. 
2693,"""PLUMBERS"" INVESTIGATION "
2694,Fielding Break-In 
2695,In the course of investigating the Watergate case in the spring 
2696,"of 1973, Assistant U.S. Attorneys for the District of Columbia learned "
2697,from former White House counsel John Dean that a special investi- 
2698,"gative unit in the White House, known as the “Plumbers,” had been "
2699,responsible for a break-in in September 1971 at the Los Angeles offices 
2700,"of Dr. Lewis Fielding, conducted to secure the psychiatric records "
2701,"of Fielding’s former patient, Daniel Ellsberg. At the time of the break- "
2702,"in, Ellsberg was under indictment for his role in the alleged theft of "
2703,the classified “Pentagon Papers”. 
2704,"By the time WSPF was established, the investigation showed "
2705,that “Plumbers” Gordon Liddy and Howard Hunt had planned the 
2706,"burglary, that some of their Cub an -American associates had carried "
2707,"it out, and that White House aides Egil Krogh and David Young "
2708,"had obtained the approval of another White House staff member, "
2709,"John Ehrlichman, for the project. Hunt had been given immunity "
2710,from further prosecution after his Watergate conviction and Young 
2711,60
2712,had been immunized in order to obtain his cooperation in the Fielding 
2713,"investigation. During the summer of 1973, WSPF’s “Plumbers” "
2714,task force continued this investigation. 
2715,"On September 4, 1973, a Los Angeles County grand jury which "
2716,had also been investigating the break-in returned an indictment 
2717,"charging Ehrlichman, Krogh, Liddy, and Young with conspiracy "
2718,"and burglary, Krogh with solicitation to commit burglary, and "
2719,Ehrlichman with perjury in connection with his testimony before 
2720,the Los Angleles grand jury. After consultation with WSPF and 
2721,"attorneys for the defendants, the District Attorney in Los Angeles "
2722,agreed not to press the case to trial pending the outcome of WSPF’s 
2723,investigation. 
2724,"On October 11, 1973, a Federal grand jury in Washington indicted "
2725,Krogh on two counts of perjury. These charges were dropped on 
2726,"November 30, following Krogh’s plea to a charge of having conspired "
2727,to violate Dr. Fielding’s civil rights and his agreement to cooperate 
2728,"with WSPF. On January 24, 1974, Krogh was sentenced to serve "
2729,"2 to 6 years in prison, with all but 6 months of the term suspended. "
2730,"WSPF’s investigation culminated in the March 7, 1974, indictment "
2731,"of Ehrlichmen, former White House aide Charles Colson, Liddy, "
2732,"Bernard Barker, Eugenio Martinez, and Felipe DeDiego on charges "
2733,of conspiring to violate Dr. Fielding’s civil rights. Ehrlichman also 
2734,was charged with lying to the FBI and three counts of perjury in 
2735,connection with the Federal investigation. 
2736,"Colson, who also had been indicted in connection with the Water- "
2737,"gate cover-up, began discussions with the prosecutors in May to "
2738,dispose of both matters. An agreement was eventually reached 
2739,whereby he pleaded guilty on June 3 to a felony charge of obstructing 
2740,"justice, based on his efforts to obtain and disseminate derogatory "
2741,information about Ellsberg with intent to impede Ellsberg’s pending 
2742,criminal trial. Colson also agreed to cooperate in WSPF’s investi- 
2743,"gations and prosecutions and on June 21, he was sentenced to a "
2744,1- to 3-year prison term. The other charges against him in the Fielding 
2745,and Watergate cases were dismissed. 
2746,"During pre-trial proceedings in the Fielding case, Ehrlichman "
2747,maintained that he had not known in advance that Dr. Fielding’s 
2748,office would be broken into and that the effort to collect information 
2749,about Ellsberg had been a legitimate attempt to protect the national 
2750,security. Arguing that White House files contained evidence which 
2751,"might support his contentions, his attorneys obtained a subpoena "
2752,for notes and classified White House documents. When White House 
2753,resistance to this subpoena threatened to lead to a dismissal of charges 
2754,"against him, his case was severed for a brief period until White House "
2755,counsel submitted an affidavit that the files contained no material 
2756,of an exculpatory nature. 
2757,61
2758,591-439 0 - 75 -5 
2759,"Shortly before trial, DeDiego moved for dismissal of the charges "
2760,"against him, claiming that the evidence which would be used against "
2761,him was based on immunized testimony he had given to a Florida 
2762,"prosecutor. Judge Gerhard Gesell, to whom the case had been as- "
2763,"signed, granted the motion. WSPF successfully appealed this decision "
2764,on the ground that an evidentiary hearing should precede a dismissal. 
2765,But the prosecutors later dropped the charges because the immunized 
2766,testimony raised doubts about the probability of a successful trial. 
2767,The matter was transferred to Department of Justice lawyers who 
2768,were “untainted” because they had had no access to DeDiego’ s 
2769,immunized account. 
2770,The Fielding jury trial lasted 3 weeks and resulted in a guilty 
2771,"verdict on July 12, 1974, against all remaining defendants, with the "
2772,exception of a not guilty verdict on one of the three perjury charges 
2773,"against Ehrlichman. Judge Gesell, in dismissing one charge against "
2774,"Ehrlichman of lying to the FBI, held that the statute he was accused "
2775,of violating did not extend to the FBI investigative interview under 
2776,"the kinds of circumstances shown at the trial. On July 31, Barker "
2777,"and Martinez, who had spent substantial time in jail following their "
2778,"conviction in the original Watergate case, received suspended sen- "
2779,tences and 3 years’ probation. Liddy was sentenced to a 1- to 3-year 
2780,prison term and Ehrlichman to a term of 20 months to 5 years. All 
2781,defendants have appealed their convictions. 
2782,Other Break-In Investigations 
2783,Newspaper reports in early 1973 suggested that the participants 
2784,in the Watergate break-in might also have burglarized the Embassy 
2785,"of Chile in Washington, D.C., on the weekend of May 13-15, 1972, "
2786,and the homes of Chilean diplomats in New York City earlier in 1972. 
2787,"The “Plumbers” task force investigated these allegations, inter- "
2788,"viewing the Watergate burglars, officials of the embassy, local police "
2789,"officers, members of a Senate committee staff, former officials of the "
2790,"White House and the Central Intelligence Agency, and journalists. "
2791,"The State Department, CIA, and FBI also provided information in "
2792,connection with this incident. The investigation did not develop 
2793,evidence which would form a basis for criminal charges. 
2794,WSPF also received allegations from various sources that the 
2795,White House “Plumbers” or other agents had been responsible for 
2796,"numerous unsolved burglaries in the Washington, D.C., area and "
2797,elsewhere. The victims of these burglaries had been persons or 
2798,organizations that might be deemed hostile to the Nixon Administra- 
2799,tion. The task force’s investigations were directed at determining 
2800,whether there was evidence that the “Plumbers” or other known 
2801,White House agents had been involved in any of these burglaries. 
2802,"No such evidence was found, and no criminal charges were brought. "
2803,62
2804,Wiretap Investigations 
2805,Press reports in May 1973 alleged that between 1969 and 1971 the 
2806,"FBI, at the direction of the White House, conducted wiretaps directed "
2807,at a number of Government officials and newsmen in an effort to 
2808,discover the sources of unauthorized disclosures of information related 
2809,to the national security. It was also a leged that some of these wiretaps 
2810,had been conducted in connection with the investigation of the dis- 
2811,closure of the “Pentagon Papers.” These reports prompted Judge 
2812,"W. Matthew Byrne, then presiding at the criminal trial of Daniel "
2813,"Ellsberg, to order the Justice Department to determine whether or "
2814,"not such wiretapping had occurred, and to produce in court all wiretap "
2815,evidence in any way related to the Ellsberg case. 
2816,"William D. Ruckelshaus, the new Acting Director of the FBI, "
2817,launched an intensive investigation to determine whether such wiretap 
2818,"evidence existed. On May 10, 1973, Ruckelshaus informed Judge "
2819,Byrne that his investigation had determined that such a wiretap 
2820,"project had taken place, that an FBI employee recalled that during "
2821,the course of a wiretap on the home phone of Dr. Morton Halperin 2 
2822,at least one telephone conversation of Daniel Ellsberg had been 
2823,"recorded, and that the FBI had not been able to locate the records of "
2824,"these wiretaps. The following day, May 11, Judge Byrne declared a "
2825,mistrial and dismissed all charges against Ellsberg and his co-defendant 
2826,"on the ground of Government misconduct, citing both the Fielding "
2827,burglary and the failure of the Government to produce the records of 
2828,the electronic surveillance of Ellsberg. The following day all records of 
2829,the wiretap project were located among the White House files of John 
2830,"Ehrlichman and were returned to the FBI. On May 14, 1973, Ruckels- "
2831,haus held a press conference and revealed that the wiretap project had 
2832,"been conducted from May 1969 to February 1971, that a total of 13 "
2833,Government officials and four journalists had been subject to electronic 
2834,"surveillance, and that in the summer or fall of 1971 all records of the "
2835,wiretap project had been removed from the FBI and delivered to 
2836,Ehrlichman at the White House. 
2837,WSPF began its investigation into the events surrounding the 
2838,"wiretap project in the late summer of 1973. Press reports, principally "
2839,"in the New York Times , had listed the names of 17 individuals alleged "
2840,to have been the subjects of these wiretaps. Because some of the 
2841,Government officials alleged to have been the subjects of these 
2842,"wiretaps had worked in purely domestic areas, WSPF first inquired "
2843,whether or not these wiretaps had been authorized by the Attorney 
2844,"2 Dr. Halperin, a former assistant to Dr. Henry Kissinger, later filed a civil "
2845,damage suit against Kissinger and others alleging that the wiretapping of Hal- 
2846,perin’s phone had been illegal. A number of facts concerning the wiretap project 
2847,have been made public as a result of the depositions taken in the Halperin v. 
2848,Kissinger litigation. That case is still pending and further depositions may produce 
2849,additional public information. 
2850,63
2851,"General and, even if authorized, whether that authorization had been "
2852,"given on the basis of good faith, legitimate national security concerns. 3 "
2853,It had also been alleged that the wiretap on one of the Government 
2854,officials had continued after he left the Government to work as a 
2855,policy adviser for a Democratic Senator then seeking the Presidential 
2856,"nomination. This fact, along with certain documents received by "
2857,"WSPF, 4 also led WSPF to question whether these wiretaps had been "
2858,"used to develop partisan political intelligence, and in addition, "
2859,whether or not any wiretap information had been “leaked” to the 
2860,press or otherwise disclosed. (Disclosure of wiretap information is 
2861,itself a violation of the wiretapping statute.) The continuing investiga- 
2862,tion finally focused on whether various Government officials had 
2863,"concealed the existence of these wiretaps to obstruct justice — i.e., to "
2864,prevent the disclosure of the electronic surveillance of Ellsberg— or 
2865,had concealed the existence of these wiretaps by illegal means such as 
2866,perjury. 
2867,"During September and October 1973, WSPF considered requesting "
2868,direct access to the wiretap files that Ruckelshaus had brought back 
2869,to the FBI. Special Prosecutor Cox was asked by the FBI to route any 
2870,such request directly to the Attorney General since the FBI felt that 
2871,it could not comply with such a request unless instructed to do so by 
2872,the Attorney General. Cox decided to hold off further negotiations on 
2873,this issue until after conclusion of the litigation over grand jury access 
2874,to Presidential tape recordings. In the interim. WSPF made an initial 
2875,determination as to which wiretaps appeared to lack proper national 
2876,"security justification, and attorneys interviewed individuals who had "
2877,allegedly been the subjects of these questionable wiretaps. 
2878,"After Cox was fired, Jaworski sought and gained access to the wire- "
2879,tap files. The files were reviewed in December 1973 and the following 
2880,"month, WSPF began presenting witnesses on this matter to the newly "
2881,empaneled grand jury. The prosecutors examined voluminous FBI 
2882,"records, interviewed current and former FBI and Justice Department "
2883,"personnel, secured grand jury testimony, and spoke with others who "
2884,were believed to have relevant knowledge. 
2885,"In the summer of 1974, the prosecutors expanded their investiga- "
2886,tion by obtaining the assistance of FBI agents assigned to the General 
2887,"Investigative Division. 5 Thereafter, FBI agents conducted most of "
2888,3 Warrantless wiretapping on grounds of domestic (as opposed to foreign) 
2889,threats to national security was not ruled illegal until a Supreme Court decision 
2890,in June 1972. 
2891,"4 See House Judiciary Report, Book VII, Part I, pp. 360-364, where sub- "
2892,stantial portions of the documents referred to have been published. 
2893,5 This arrangement was satisfactory to both the FBI and WSPF since the 
2894,General Investigative Division had jurisdiction to investigate the types of 
2895,"criminal activity in question, and in addition, that division of the FBI had had "
2896,"no previous dealings with the wiretap project, which had been handled exclusively "
2897,by the FBI’s Intelligence Division. 
2898,64
2899,the initial interviews of witnesses. The investigation of wiretaps 
2900,"initiated by the White House, and the subsequent concealment of the "
2901,"nature and records of that activity, involved the full time of one "
2902,attorney and part of the time of another over an 18-month period. 
2903,The “Plumbers” task force also looked into a number of allega- 
2904,tions of non -FBI wiretapping which was alleged to have been illegal. 
2905,The most significant of these inquiries was the alleged wiretapping 
2906,"for 2 weeks of the home telephone of Joseph Kraft, a syndicated "
2907,"columnist, first revealed in June 1973 by John Dean’s testimony "
2908,before the Senate Select Committee. The investigation included 
2909,"interviews of former White House, FBI, and telephone company "
2910,"officials, an interview of Mr. Kraft, and a review of relevant White "
2911,House and FBI documents. 
2912,The Counsel to the Special Prosecutor examined the various 
2913,"legal issues involved in these wiretap investigations, and concluded: "
2914,. . . Congress has specifically provided in 18 U.S.C.. Section 
2915,2511(3) that the statutory prohibition against wiretapping does 
2916,not apply to measures the President believes necessary “to protect 
2917,national security information against foreign intelligence activ- 
2918,ities.” Whether any of the taps in question fit within this exception 
2919,could be debated as a matter of statutory interpretation as well 
2920,"as a matter of actual intention, and there would also be room to "
2921,contend that the duration of some of the taps showed that even 
2922,an initially legitimate purpose was altered to an impermissable 
2923,domestic political goal. 
2924,"Nevertheless, because of the numerous uncertainties in this "
2925,"area, I would be hesitant to recommend a criminal prosecution "
2926,of any of the principals involved in initiating what appeared to 
2927,be “national security” wiretaps. 
2928,WSPF investigators and Counsel concluded that at least two of 
