Page,Text,Definition (Appendix),
88,"Footnote: 389. See TRUMPORG_16_00139 (4/27/16 Email, Graff to Foresman); TRUMPORG_16_00137 (4/27/16 Email, Graff to Lewandowski).",,
88,"Footnote: 390. TRUMPORG_16_00142 (5/2/16 Email, Graff to S. Miller); see also TRUMPORG_16_00143 (5/2/16 Email, Graff to S. Miller)(forwarding March 2016 email from Foresman).",,
88,"Footnote: 391. Foresman's contacts during the transition period are discussed further in Volume I, Section IV.B.3, infra.",,
88,"Footnote: 392. Foresman 10/17/18 302, at 4.",,
88,"Footnote: 393. Foresman 10/17/18 302, at 8-9.",,
88,Footnote: 80. 80,,
89,"2016 to early October 2016.394 In late April 2016, Papadopoulos was told by London-based professor Joseph Mifsud, immediately after Mifsud's return from a trip to Moscow, that the Russian government had obtained ""dirt"" on candidate Clinton in the form of thousands of emails.",,
89,"One week later, on May 6, 2016, Papadopoulos suggested to a representative of a foreign government that the Trump Campaign had received indications from the Russian government that it could assist the Campaign through the anonymous release of information that would be damaging to candidate Clinton.",,
89,"Papadopoulos shared information about Russian ""dirt"" with people outside of the Campaign, and the Office investigated whether he also provided it to a Campaign official.",,
89,"Papadopoulos and the Campaign officials with w [Harm to Ongoing Matter] he interacted told the Office that they did not recall that Papadopoulos passed them the information. Throughout the relevant period of time and for several months thereafter, Papadopoulos worked with Mifsud and two Russian nationals to arrange a meeting between the Campaign and the Russian government. That meeting never came to pass. a. Origins of Campaign Work In March 2016, Papadopoulos became a foreign policy advisor to the Trump Campaign.395 As early as the summer of 2015, he had sought a role as a policy advisor to the Campaign but, in a September 30, 2015 email, he was told that the Campaign was not hiring policy advisors.396 In late 2015, Papadopoulos obtained a paid position on the campaign of Republican presidential candidate Ben Carson.397 Although Carson remained in the presidential race until early March 2016, Papadopoulos had stopped actively working for his campaign by early February 2016.998 At that time, Papadopoulos reached out to a contact at the London Centre of International Law Practice (LCILP), which billed itself as a ""unique institution... comprising high-level professional international law practitioners, dedicated to the advancement of global legal knowledge and the practice of international law.""399 Papadopoulos said that he had finished his role with the Carson 394 Papadopoulos met with our Office for debriefings on several occasions in the summer and fall of 2017, after he was arrested and charged in a sealed criminal complaint with making false statements in a January 2017 FBI interview about, inter alia, the timing, extent, and nature of his interactions and communications with Joseph Mifsud and two Russian nationals: Olga Polonskaya and Ivan Timofeev.",,
89,"Papadopoulos later pleaded guilty, pursuant to a plea agreement, to an information charging him with making false statements to the FBI, in violation of 18 U.S.C. § 1001(a).",,
89,"Footnote: 395. A Transcript of Donald Trump's Meeting with the Washington Post Editorial Board, Washington Post (Mar. 21, 2016).",,
89,"Footnote: 396. 7/15/15 LinkedIn Message, Papadopoulos to Lewandowski (6:57 a.m.); 9/30/15 Email, Glassner to Papadopoulos (7:42:21 a.m.).",,
89,"Footnote: 397. Papadopoulos 8/10/17 302, at 2.",,
89,"Footnote: 398. Papadopoulos 8/10/17 302, at 2; 2/4/16 Email, Papadopoulos to Idris.",,
89,"Footnote: 399. London Centre of International Law Practice, at https://www.lcilp.org/ (via web.archive.org).",,
90,"campaign and asked if LCILP was hiring.400 In early February, Papadopoulos agreed to join LCILP and arrived in London to begin work.401 As he was taking his position at LCILP, Papadopoulos contacted Trump campaign manager Corey Lewandowski via LinkedIn and emailed campaign official Michael Glassner about his interest in joining the Trump Campaign.402 On March 2, 2016, Papadopoulos sent Glassner another message reiterating his interest.403 Glassner passed along word of Papadopoulos's interest to another campaign official, Joy Lutes, who notified Papadopoulos by email that she had been told by Glassner to introduce Papadopoulos to Sam Clovis, the Trump Campaign's national co-chair and chief policy advisor.404 At the time of Papadopoulos's March 2 email, the media was criticizing the Trump Campaign for lack of experienced foreign policy or national security advisors within its ranks.405 To address that issue, senior Campaign officials asked Clovis to put a foreign policy team together on short notice.406 After receiving Papadopoulos's name from Lutes, Clovis performed a Google search on Papadopoulos, learned that he had worked at the Hudson Institute, and believed that he had credibility on energy issues.407 On March 3, 2016, Clovis arranged to speak with Papadopoulos by phone to discuss Papadopoulos joining the Campaign as a foreign policy advisor, and on March 6, 2016, the two spoke.408 Papadopoulos recalled that Russia was mentioned as a topic, and he understood from the conversation that Russia would be an important aspect of the Campaign's foreign policy.409 At the end of the conversation, Clovis offered Papadopoulos a role as a foreign policy advisor to the Campaign, and Papadopoulos accepted the offer. 410 b. Initial Russia-Related Contacts Approximately a week after signing on as a foreign policy advisor, Papadopoulos traveled 400 2/4/16 Email, Papadopoulos to Idris.",,
90,"Footnote: 401. 2/5/16 Email, Idris to Papadopoulos (6:11:25 p.m.); 2/6/16 Email, Idris to Papadopoulos (5:34:15 p.m.).",,
90,"4022/4/16 LinkedIn Message, Papadopoulos to Lewandowski (1:28 p.m.); 2/4/16 Email, Papadopoulos to Glassner (2:10:36 p.m.).",,
90,"Footnote: 403. 3/2/16 Email, Papadopoulos to Glassner (11:17:23 a.m.).",,
90,"Footnote: 404. 3/2/16 Email, Lutes to Papadopoulos (10:08:15 p.m.).",,
90,Footnote: 405. Clovis 10/3/17,,
90,"Footnote: 302. (1 of 2), at 4.",,
90,Footnote: 406. Clovis 10/3/17,,
90,"Footnote: 302. (1 of 2), at 4.",,
90,"Footnote: 407. Grand Jury ; 3/3/16 Email, Lutes to Clovis & Papadopoulos (6:05:47 p.m.).",,
90,"Footnote: 408. 3/6/16 Email, Papadopoulos to Clovis (4:24:21 p.m.).",,
90,"Footnote: 409. Statement of Offense 14, United States v. George Papadopoulos, 1:17-cr-182 (D.D.C. Oct. 5, 2017), Doc. 19 (""Papadopoulos Statement of Offense"").",,
90,"Footnote: 410. Papadopoulos 8/10/17 302, at 2.",,
91,"to Rome, Italy, as part of his duties with LCILP.411 The purpose of the trip was to meet officials affiliated with Link Campus University, a for-profit institution headed by a former Italian government official.412 During the visit, Papadopoulos was introduced to Joseph Mifsud.",,
91,"Mifsud is a Maltese national who worked as a professor at the London Academy of Diplomacy in London, England.413 Although Mifsud worked out of London and was also affiliated with LCILP, the encounter in Rome was the first time that Papadopoulos met him.414 Mifsud maintained various Russian contacts while living in London, as described further below. Among his contacts was IT ,415 a one-time employee of the IRA, the entity that carried out the Russian social media campaign (see Volume 1, Section II, supra). In January and February 2016, Mifsud and IT discussed IT possibly meeting in Russia. The investigation did not identify evidence of them meeting. Later, in the spring of 2016, IT was also in contact IT that was linked to an employee of the Russian Ministry of Defense, and that account had overlapping contacts with a group of Russian military-controlled Facebook accounts that included accounts used to promote the DCLeaks releases in the course of the GRU's hack-and-release operations (see Volume I, Section III.B.1, supra).",,
91,"According to Papadopoulos, Mifsud at first seemed uninterested in Papadopoulos when they met in Rome. 416 After Papadopoulos informed Mifsud about his role in the Trump Campaign, however, Mifsud appeared to take greater interest in Papadopoulos.417 The two discussed Mifsud's European and Russian contacts and had a general discussion about Russia; Mifsud also offered to introduce Papadopoulos to European leaders and others with contacts to the Russian government.418 Papadopoulos told the Office that Mifsud's claim of substantial connections with Russian government officials interested Papadopoulos, who thought that such connections could increase his importance as a policy advisor to the Trump Campaign.419 411 Papadopoulos 8/10/17 302, at 2-3; Papadopoulos Statement of Offense 15.",,
91,"Footnote: 412. Papadopoulos 8/10/17 302, at 2-3; Stephanie Kirchgaessner et al., Joseph Mifsud: more questions than answers about mystery professor linked to Russia, The Guardian (Oct. 31, 2017)(""Link Campus University... is headed by a former Italian interior minister named Vincenzo Scotti."").",,
91,Footnote: 413. Papadopoulos Statement of Offense 5.,,
91,"Footnote: 414. Papadopoulos 8/10/17 302, at 3.",,
91,"Footnote: 415. See, e.g., Investigative Technique [Harm to Ongoing Matter]",,
91,Footnote: 416. Papadopoulos Statement of Offense 15.,,
91,Footnote: 417. Papadopoulos Statement of Offense 15.,,
91,"Footnote: 418. Papadopoulos 8/10/17 302, at 3; Papadopoulos 8/11/17 302, at 2.",,
91,Footnote: 419. Papadopoulos Statement of Offense 95.,,
92,"On March 17, 2016, Papadopoulos returned to London.420 Four days later, candidate Trump publicly named him as a member of the foreign policy and national security advisory team chaired by Senator Jeff Sessions, describing Papadopoulos as ""an oil and energy consultant"" and an ""[e] xcellent guy.99421 On March 24, 2016, Papadopoulos met with Mifsud in London.422 Mifsud was accompanied by a Russian female named Olga Polonskaya. Mifsud introduced Polonskaya as a former student of his who had connections to Vladimir Putin.423 Papadopoulos understood at the time that Polonskaya may have been Putin's niece but later learned that this was not true.424 During the meeting, Polonskaya offered to help Papadopoulos establish contacts in Russia and stated that the Russian ambassador in London was a friend of hers.425 Based on this interaction, Papadopoulos expected Mifsud and Polonskaya to introduce him to the Russian ambassador in London, but that did not occur.426 Following his meeting with Mifsud, Papadopoulos sent an email to members of the Trump Campaign's foreign policy advisory team. The subject line of the message was ""Meeting with Russian leadership -- including Putin.93427 The message stated in pertinent part: I just finished a very productive lunch with a good friend of mine, Joseph Mifsud, the director of the London Academy of Diplomacy -- who introduced me to both Putin's niece and the Russian Ambassador in London -- who also acts as the Deputy Foreign Minister. 428 The topic of the lunch was to arrange a meeting between us and the Russian leadership to discuss U.S.-Russia ties under President Trump. They are keen to host us in a ""neutral""",,
92,"city, or directly in Moscow. They said the leadership, including Putin, is ready to meet with us and Mr. Trump should there be interest. Waiting for everyone's thoughts on moving forward with this very important issue.429 420 Papadopoulos 8/10/17 302, at 2.",,
92,"Footnote: 421. Phillip Rucker & Robert Costa, Trump Questions Need for NATO, Outlines Noninterventionist Foreign Policy, Washington Post (Mar. 21, 2016).",,
92,"Footnote: 422. Papadopoulos 8/10/17 302, at 3; 3/24/16 Text Messages, Mifsud & Papadopoulos.",,
92,"Footnote: 423. Papadopoulos 8/10/17 302, at 3.",,
92,"Footnote: 424. Papadopoulos 8/10/17 302, at 3; Papadopoulos 2/10/17 302, at 2-3; Papadopoulos Internet Search History (3/24/16)(revealing late-morning and early-afternoon searches on March 24, 2016 for ""putin's niece,"" ""olga putin,"" and ""russian president niece olga,"" among other terms).",,
92,"Footnote: 425. Papadopoulos 8/10/17 302, at 3.",,
92,Footnote: 426. Papadopoulos Statement of Offense 8 n.1.,,
92,"Footnote: 427. 3/24/16 Email, Papadopoulos to Page et al. (8:48:21 a.m.).",,
92,"Footnote: 428. Papadopoulos's statements to the Campaign were false. As noted above, the woman he met was not Putin's niece, he had not met the Russian Ambassador in London, and the Ambassador did not also serve as Russia's Deputy Foreign Minister.",,
92,"Footnote: 429. 3/24/16 Email, Papadopoulos to Page et al. (8:48:21 a.m.).",,
93,"Papadopoulos's message came at a time when Clovis perceived a shift in the Campaign's approach toward Russia -- from one of engaging with Russia through the NATO framework and taking a strong stance on Russian aggression in Ukraine, Grand Jury 430 Clovis's response to Papadopoulos, however, did not reflect that shift. Replying to Papadopoulos and the other members of the foreign policy advisory team copied on the initial email, Clovis wrote: This is most informative. Let me work it through the campaign. No commitments until we see how this plays out. My thought is that we probably should not go forward with any meetings with the Russians until we have had occasion to sit with our NATO allies, especially France, Germany and Great Britain. We need to reassure our allies that we are not going to advance anything with Russia until we have everyone on the same page.",,
93,"More thoughts later today. Great work.431 c. March 31 Foreign Policy Team Meeting The Campaign held a meeting of the foreign policy advisory team with Senator Sessions and candidate Trump approximately one week later, on March 31, 2016, in Washington, D.C.432 The meeting -- which was intended to generate press coverage for the Campaign433 -- took place at the Trump International Hotel.434 Papadopoulos flew to Washington for the event. At the meeting, Senator Sessions sat at one end of an oval table, while Trump sat at the other. As reflected in the photograph below (which was posted to Trump's Instagram account), Papadopoulos sat between the two, two seats to Sessions's left: 430 Grand Jury 431 3/24/16 Email, Clovis to Papadopoulos et al. (8:55:04 a.m.).",,
93,"Footnote: 432. Papadopoulos 8/10/17 302, at 4; Papadopoulos 8/11/17 302, at 3.",,
93,"Footnote: 433. Sessions 1/17/18 302, at 16-17.",,
93,"Footnote: 434. Papadopoulos 8/10/17 302, at 4.",,
94,"March 31, 2016 Meeting of Foreign Policy Team, with Papadopoulos (Fourth from Right of Candidate Trump) During the meeting, each of the newly announced foreign policy advisors introduced themselves and briefly described their areas of experience or expertise.435 Papadopoulos spoke about his previous work in the energy sector and then brought up a potential meeting with Russian officials.436 Specifically, Papadopoulos told the group that he had learned through his contacts in London that Putin wanted to meet with candidate Trump and that these connections could help arrange that meeting.437 Trump and Sessions both reacted to Papadopoulos's statement. Papadopoulos and Campaign advisor J.D. Gordon -- who told investigators in an interview that he had a ""crystal clear"" recollection of the meeting-have stated that Trump was interested in and receptive to the idea of a meeting with Putin.438 Papadopoulos understood Sessions to be similarly supportive of his efforts to arrange a meeting.439 Gordon and two other attendees, however, recall that Sessions generally opposed the proposal, though they differ in their accounts of the concerns he voiced or the strength of the opposition he expressed.440 d. George Papadopoulos Learns That Russia Has ""Dirt"" in the Form of Clinton Emails Whatever Sessions's precise words at the March 31 meeting, Papadopoulos did not understand Sessions or anyone else in the Trump Campaign to have directed that he refrain from 435 Papadopoulos 8/10/17 302, at 4.",,
94,"Footnote: 436. Papadopoulos 8/10/17 302, at 4.",,
94,"Footnote: 437. Papadopoulos Statement of Offense 9 9; see Gordon 8/29/17 302, at 14; Carafano 9/12/17 302, at 2; Hoskins 9/14/17 302, at 1.",,
94,"Footnote: 438. Papadopoulos 8/10/17 302, at 4-5; Gordon 9/7/17 302, at 4-5.",,
94,"Footnote: 439. Papadopoulos 8/10/17 302, at 5; Papadopoulos 8/11/17 302, at 3.",,
94,"Footnote: 440. Sessions 1/17/18 302, at 17; Gordon 9/7/17 302, at 5; Hoskins 9/14/17 302, at 1; Carafano 9/12/17 302, at 2.",,
95,making further efforts to arrange a meeting between the Campaign and the Russian government.,,
95,"To the contrary, Papadopoulos told the Office that he understood the Campaign to be supportive of his efforts to arrange such a meeting. 441 Accordingly, when he returned to London, Papadopoulos resumed those efforts.442 Throughout April 2016, Papadopoulos continued to correspond with, meet with, and seek Russia contacts through Mifsud and, at times, Polonskaya.443 For example, within a week of her initial March 24 meeting with him, Polonskaya attempted to send Papadopoulos a text message-which email exchanges show to have been drafted or edited by Mifsud-addressing Papadopoulos's ""wish to engage with the Russian Federation.93444 When Papadopoulos learned from Mifsud that Polonskaya had tried to message him, he sent her an email seeking another meeting.445 Polonskaya responded the next day that she was ""back in St. Petersburg"" but ""would be very pleased to support [Papadopoulos's] initiatives between our two countries"" and ""to meet [him] again.95446 Papadopoulos stated in reply that he thought ""a good step"" would be to introduce him to ""the Russian Ambassador in London,"" and that he would like to talk to the ambassador, ""or anyone else you recommend, about a potential foreign policy trip to Russia.9447 Mifsud, who had been copied on the email exchanges, replied on the morning of April 11, 2016. He wrote, ""This is already been agreed. I am flying to Moscow on the 18th for a Valdai meeting, plus other meetings at the Duma. We will talk tomorrow.""448 The two bodies referenced by Mifsud are part of or associated with the Russian government: the Duma is a Russian legislative assembly,449 while ""Valdai"" refers to the Valdai Discussion Club, a Moscow-based group that ""is close to Russia's foreign-policy establishment.99450 Papadopoulos thanked Mifsud and said that he would see him ""tomorrow.99451 For her part, Polonskaya responded that she had already alerted my personal links to our conversation and your request,"" that ""we are all very excited the possibility of a good relationship with Mr. Trump,"" and that ""[t] he Russian Federation would love to welcome him once his candidature would be officially announced.""452 441 Papadopoulos 8/10/17 302, at 4-5; Papadopoulos 8/11/17 302, at 3; Papadopoulos 9/20/17 302, at 2.",,
95,Footnote: 442. Papadopoulos Statement of Offense 10.,,
95,Footnote: 443. Papadopoulos Statement of Offense 19 10-15.,,
95,"Footnote: 444. 3/29/16 Emails, Mifsud to Polonskaya (3:39 a.m. and 5:36 a.m.).",,
95,"Footnote: 445. 4/10/16 Email, Papadopoulos to Polonskaya (2:45:59 p.m.).",,
95,"Footnote: 446. 4/11/16 Email, Polonskaya to Papadopoulos (3:11:24 a.m.).",,
95,"Footnote: 447. 4/11/16 Email, Papadopoulos to Polonskaya (9:21:56 a.m.).",,
95,"Footnote: 448. 4/11/16 Email, Mifsud to Papadopoulos (11:43:53).",,
95,Footnote: 449. Papadopoulos Statement of Offense 9 10(c).,,
95,"Footnote: 450. Anton Troianovski, Putin Ally Warns of Arms Race as Russia Considers Response to U.S.",,
95,"Nuclear Stance, Washington Post (Feb. 10, 2018).",,
95,"Footnote: 451. 4/11/16 Email, Papadopoulos to Mifsud (11:51:53 a.m.).",,
95,"Footnote: 452. 4/12/16 Email, Polonskaya to Papadopoulos (4:47:06 a.m.).",,
96,"Papadopoulos's and Mifsud's mentions of seeing each other ""tomorrow"" referenced a meeting that the two had scheduled for the next morning, April 12, 2016, at the Andaz Hotel in London. Papadopoulos acknowledged the meeting during interviews with the Office,453 and records from Papadopoulos's UK cellphone and his internet-search history all indicate that the meeting took place. 454 Following the meeting, Mifsud traveled as planned to Moscow.455 On April 18, 2016, while in Russia, Mifsud introduced Papadopoulos over email to Ivan Timofeev, a member of the Russian International Affairs Council (RIAC).456 Mifsud had described Timofeev as having connections with the Russian Ministry of Foreign Affairs (MFA),457 the executive entity in Russia responsible for Russian foreign relations.438 Over the next several weeks, Papadopoulos and Timofeev had multiple conversations over Skype and email about setting ""the groundwork"" for a ""potential"" meeting between the Campaign and Russian government officials.459 Papadopoulos told the Office that, on one Skype call, he believed that his conversation with Timofeev was being monitored or supervised by an unknown third party, because Timofeev spoke in an official manner and Papadopoulos heard odd noises on the line.460 Timofeev also told Papadopoulos in an April 25, 2016 email that he had just spoken ""to Igor Ivanov[,] the President of RIAC and former Foreign Minister of Russia,"" and conveyed Ivanov's advice about how best to arrange a ""Moscow visit.9461 After a stop in Rome, Mifsud returned to England on April 25, 2016.462 The next day, Papadopoulos met Mifsud for breakfast at the Andaz Hotel (the same location as their last 453 Papadopoulos 9/19/17 302, at 7.",,
96,"Footnote: 454. 4/12/16 Email, Mifsud to Papadopoulos (5:44:39 a.m.)(forwarding Libya-related document); 4/12/16 Email, Mifsud to Papadopoulos & Obaid (10:28:20 a.m.); Papadopoulos Internet Search History (Apr. 11, 2016 10:56:49 p.m.)(search for ""andaz hotel liverpool street""); 4/12/16 Text Messages, Mifsud & Papadopoulos.",,
96,"Footnote: 455. See, e.g., 4/18/16 Email, Mifsud to Papadopoulos (8:04:54 a.m.).",,
96,"Footnote: 456. Papadopoulos 8/10/17 302, at 5.",,
96,Footnote: 457. Papadopoulos Statement of Offense | 11.,,
96,"Footnote: 458. During the campaign period, Papadopoulos connected over LinkedIn with several MFA- affiliated individuals in addition to Timofeev. On April 25, 2016, he connected with Dmitry Andreyko, publicly identified as a First Secretary at the Russian Embassy in Ireland. In July 2016, he connected with Yuriy Melnik, the spokesperson for the Russian Embassy in Washington and with Alexey Krasilnikov, publicly identified as a counselor with the MFA. And on September 16, 2016, he connected with Sergei Nalobin, also identified as an MFA official. See Papadopoulos LinkedIn Connections IT",,
96,Footnote: 459. Papadopoulos Statement of Offense | 11.,,
96,"Footnote: 460. Papadopoulos 8/10/17 302, at 5; Papadopoulos 9/19/17 302, at 10.",,
96,"Footnote: 461. 4/25/16 Email, Timofeev to Papadopoulos (8:16:35 a.m.).",,
96,"Footnote: 462. 4/22/16 Email, Mifsud to Papadopoulos (12:41:01 a.m.).",,
97,"meeting).463 During that meeting, Mifsud told Papadopoulos that he had met with high-level Russian government officials during his recent trip to Moscow. Mifsud also said that, on the trip, he learned that the Russians had obtained ""dirt"" on candidate Hillary Clinton. As Papadopoulos later stated to the FBI, Mifsud said that the ""dirt"" was in the form of ""emails of Clinton,"" and that they ""have thousands of emails. 93464 On May 6, 2016, 10 days after that meeting with Mifsud, Papadopoulos suggested to a representative of a foreign government that the Trump Campaign had received indications from the Russian government that it could assist the Campaign through the anonymous release of information that would be damaging to Hillary Clinton.465 e. Russia-Related Communications With The Campaign While he was discussing with his foreign contacts a potential meeting of campaign officials with Russian government officials, Papadopoulos kept campaign officials apprised of his efforts.",,
97,"On April 25, 2016, the day before Mifsud told Papadopoulos about the emails, Papadopoulos wrote to senior policy advisor Stephen Miller that ""[t] he Russian government has an open invitation by Putin for Mr. Trump to meet him when he is ready,"" and that ""[t] he advantage of being in London is that these governments tend to speak a bit more openly in 'neutral cities. 93466 On April 27, 2016, after his meeting with Mifsud, Papadopoulos wrote a second message to Miller stating that ""some interesting messages [were] coming in from Moscow about a trip when the time is right.9467 The same day, Papadopoulos sent a similar email to campaign manager Corey Lewandowski, telling Lewandowski that Papadopoulos had ""been receiving a lot of calls over the last month about Putin wanting to host [Trump] and the team when the time is right.99468 Papadopoulos's Russia-related communications with Campaign officials continued throughout the spring and summer of 2016. On May 4, 2016, he forwarded to Lewandowski an email from Timofeev raising the possibility of a meeting in Moscow, asking Lewandowski whether that was ""something we want to move forward with.9469 The next day, Papadopoulos forwarded the same Timofeev email to Sam Clovis, adding to the top of the email ""Russia update.9470 He included the same email in a May 21, 2016 message to senior Campaign official Paul Manafort, under the subject line ""Request from Russia to meet Mr. Trump,"" stating that ""Russia has been eager to meet Mr. Trump for quite sometime and have been reaching out to me 463 Papadopoulos Statement of Offense ( 14; 4/25/16 Text Messages, Mifsud & Papadopoulos.",,
97,Footnote: 464. Papadopoulos Statement of Offense 14..,,
97,"Footnote: 465. This information is contained in the FBI case-opening document and related materials. The information is law-enforcement sensitive (LES) and must be treated accordingly in any externat dissemination. The foreign government conveyed this information to the U.S. government on July 26, 2016, a few days after WikiLeaks's release of Clinton-related emails. The FBI opened its investigation of potential coordination between Russia and the Trump Campaign a few days later based on the information.",,
97,"Footnote: 466. 4/25/16 Email, Papadopoulos to S. Miller (8:12:44 p.m.).",,
97,"Footnote: 467. 4/27/16 Email, Papadopoulos to S. Miller (6:55:58 p.m.).",,
97,"Footnote: 468. 4/27/16 Email, Papadopoulos to Lewandowski (7:15:14 p.m.).",,
97,"Footnote: 469. 5/4/16 Email, Papadopoulos to Lewandowski (8:14:49 a.m.).",,
97,"Footnote: 470. 5/5/16 Email, Papadopoulos to Clovis (7:15:21 p.m.).",,
98,"Atomey Work Produet // May Contain Material Proteeted Under Fed. R. Crim. P. 6fe) to discuss.9471 Manafort forwarded the message to another Campaign official, without including Papadopoulos, and stated: ""Let['] s discuss. We need someone to communicate that [Trump) is not doing these trips. It should be someone low level in the Campaign so as not to send any signal.""472 On June 1, 2016, Papadopoulos replied to an earlier email chain with Lewandowski about a Russia visit, asking if Lewandowski ""want[ed] to have a call about this topic"" and whether ""we were following up with it.""473 After Lewandowski told Papadopoulos to ""connect with"" Clovis because he was ""running point,"" Papadopoulos emailed Clovis that ""the Russian MFA"" was asking him ""if Mr. Trump is interested in visiting Russia at some point.2474 Papadopoulos wrote in an email that he ""[w] anted to pass this info along to you for you to decide what's best to do with it and what message I should send (or to ignore).""4 After several email and Skype exchanges with Timofeev,476 Papadopoulos sent one more email to Lewandowski on June 19, 2016, Lewandowski's last day as campaign manager.477 The email stated that ""[t] he Russian ministry of foreign affairs"" had contacted him and asked whether, if Mr. Trump could not travel to Russia, a campaign representative such as Papadopoulos could attend meetings.478 Papadopoulos told Lewandowski that he was ""willing to make the trip off the record if it's in the interest of Mr. Trump and the campaign to meet specific people.9479 Following Lewandowski's departure from the Campaign, Papadopoulos communicated with Clovis and Walid Phares, another member of the foreign policy advisory team, about an off-the-record meeting between the Campaign and Russian government officials or with Papadopoulos's other Russia connections, Mifsud and Timofeev.480 Papadopoulos also interacted 471 5/21/16 Email, Papadopoulos to Manafort (2:30:14 p.m.).",,
98,Footnote: 472. Papadopoulos Statement of Offense 19 n.2.,,
98,"Footnote: 473. 6/1/16 Email, Papadopoulos to Lewandowski (3:08:18 p.m.).",,
98,"Footnote: 474. 6/1/16 Email, Lewandowski to Papadopoulos (3:20:03 p.m.); 6/1/16 Email, Papadopoulos to Clovis (3:29:14 p.m.).",,
98,"Footnote: 475. 6/1/16 Email, Papadopoulos to Clovis (3:29:14 p.m.). Papadopoulos's email coincided in time with another message to Clovis suggesting a Trump-Putin meeting. First, on May 15, 2016, David Klein-a distant relative of then-Trump Organization lawyer Jason Greenblatt-emailed Clovis about a potential Campaign meeting with Berel Lazar, the Chief Rabbi of Russia. The email stated that Klein had contacted Lazar in February about a possible Trump-Putin meeting and that Lazar was ""a very close confidante of Putin."" DJTFP00011547 (5/15/16 Email, Klein to Clovis (5:45:24 p.m.)). The investigation did not find evidence that Clovis responded to Klein's email or that any further contacts of significance came out of Klein's subsequent meeting with Greenblatt and Rabbi Lazar at Trump Tower. Klein 8/30/18 302, at 2.",,
98,Footnote: 476. Papadopoulos Statement of Offense 121(a).,,
98,Footnote: 477. Grand Jury,,
98,"Footnote: 478. 6/19/16 Email, Papadopoulos to Lewandowski (1:11:11 p.m.).",,
98,"Footnote: 479. 6/19/16 Email, Papadopoulos to Lewandowski (1:11:11 p.m.).",,
98,"Footnote: 480. Papadopoulos Statement of Offense 1 21; 7/14/16 Email, Papadopoulos to Timofeev (11:57:24 p.m.); 7/15/16 Email, Papadopoulos to Mifsud; 7/27/16 Email, Papadopoulos to Mifsud (2:14:18 p.m.).",,
99,"directly with Clovis and Phares in connection with the summit of the Transatlantic Parliamentary Group on Counterterrorism (TAG), a group for which Phares was co-secretary general.481 On July 16, 2016, Papadopoulos attended the TAG summit in Washington, D.C., where he sat next to Clovis (as reflected in the photograph below).482 George Papadopoulos (far right) and Sam Clovis (second from right) Although Clovis claimed to have no recollection of attending the TAG summit,483 Papadopoulos remembered discussing Russia and a foreign policy trip with Clovis and Phares during the event.484 Papadopoulos's recollection is consistent with emails sent before and after the TAG summit. The pre-summit messages included a July 11, 2016 email in which Phares suggested meeting Papadopoulos the day after the summit to chat,485 and a July 12 message in the same chain in which Phares advised Papadopoulos that other summit attendees are very nervous about Russia. So be aware.99486 Ten days after the summit, Papadopoulos sent an email to Mifsud listing Phares and Clovis as other ""participants"" in a potential meeting at the London Academy of Diplomacy.487 Finally, Papadopoulos's recollection is also consistent with handwritten notes from a 481 Papadopoulos 9/19/17 302, at 16-17; 9th TAG Summit in Washington DC, Transatlantic Parliament Group on Counter Terrorism.",,
99,"Footnote: 482. 9th TAG Summit in Washington DC, Transatlantic Parliament Group on Counter Terrorism.",,
99,Footnote: 483. Grand Jury,,
99,"Footnote: 484. Papadopoulos 9/19/17 302, at 16-17.",,
99,"Footnote: 485. 7/11/16 Email, Phares to Papadopoulos.",,
99,"Footnote: 486. 7/12/16 Email, Phares to Papadopoulos (14:52:29).",,
99,"Footnote: 487. 7/27/16 Email, Papadopoulos to Mifsud (14:14:18).",,
100,"journal that he kept at the time. 488 Those notes, which are reprinted in part below, appear to refer to potential September 2016 meetings in London with representatives of the office of Putin,"" and suggest that Phares, Clovis, and Papadopoulos (""Walid/Sam me') would attend without the official backing of the Campaign (""no official letter/no message from Trump"").489 September: Have an exploratory meeting te or lose. In September -- if allowed they will blast Mr. Trump.",,
100,We want the meeting in London/England Walid/Sam me No official letter/no message from Trump They are talking to us.,,
100,-It is a lot of risk.,,
100,-Office of Putin.,,
100,-Explore: we are a campaign.,,
100,I septembar :) er Here an efflmaton Meetres de ar lose. In septencher a rf n hand fung Will Glast Mr. grond.,,
100,- he wants fe meetoy Waliol gany in Landan) Engled M THG official letter / nu megeme frames free ofry as folhing to us.,,
100,It is slet af roshe - coffee of Putin.,,
100,- Erplae: We ae a campaign. off Israel! EGYPT Willingness to meet the FM sp | with Walid/Sam loft Ismel? IEGSPT) -FM coming -Useful to have a session with willingness to meet the FM spore with war die -FM coming me witserid to me a session him.,,
100,Later communications indicate that Clovis determined that he (Clovis) could not travel.,,
100,"On August 15, 2016, Papadopoulos emailed Clovis that he had received requests from multiple foreign governments, ""even Russia[] ,"" for ""closed door workshops/consultations abroad,"" and asked whether there was still interest for Clovis, Phares, and Papadopoulos ""to go on that trip. 9490 Clovis copied Phares on his response, which said that he could not ""travel before the election"" but that he ""would encourage [Papadopoulos) and Walid to make the trips, if it is feasible.9491 488 Papadopoulos 9/20/17 302, at 3.",,
